title,reference,doc_type,doc_type_label,published_date,last_modified,landing_url
CP25/17: Supporting consumers’ pensions and investment decisions: proposals for targeted support[pdf],CP25/17,CP,Consultation papers,2025-06-30,,https://www.fca.org.uk/publication/consultation/cp25-17.pdf
CP25/16: Quarterly consultation paper No. 48[pdf],CP25/16,CP,Consultation papers,2025-06-06,,https://www.fca.org.uk/publication/consultation/cp25-16.pdf
CP25/15: A prudential regime for cryptoasset firms[pdf],CP25/15,CP,Consultation papers,2025-05-28,,https://www.fca.org.uk/publication/consultation/cp25-15.pdf
CP25/14: Stablecoin issuance and cryptoasset custody[pdf],CP25/14,CP,Consultation papers,2025-05-28,,https://www.fca.org.uk/publication/consultation/cp25-14.pdf
CP25/13: Improving the complaints reporting process[pdf],CP25/13,CP,Consultation papers,2025-05-22,,https://www.fca.org.uk/publication/consultation/cp25-13.pdf
CP25/12: Simplifying the insurance rules[pdf],CP25/12,CP,Consultation papers,2025-05-14,,https://www.fca.org.uk/publication/consultation/cp25-12.pdf
CP25/11: Mortgage Rule Review: First steps to simplify our rules and increase flexibility[pdf],CP25/11,CP,Consultation papers,2025-05-07,,https://www.fca.org.uk/publication/consultation/cp25-11.pdf
CP25/10: Definition of capital for FCA investment firms[pdf],CP25/10,CP,Consultation papers,2025-04-24,,https://www.fca.org.uk/publication/consultation/cp25-10.pdf
CP25/9: Further proposals on product information for Consumer Composite Investments[pdf],CP25/9,CP,Consultation papers,2025-04-16,,https://www.fca.org.uk/publication/consultation/cp25-9.pdf
CP25/8: Data Decommissioning: Removing reporting and notification requirements[pdf],CP25/8,CP,Consultation papers,2025-04-16,,https://www.fca.org.uk/publication/consultation/cp25-8.pdf
CP25/7: FCA regulated fees and levies: rates proposals for 2025/26[pdf],CP25/7,CP,Consultation papers,2025-04-08,,https://www.fca.org.uk/publication/consultation/cp25-7.pdf
CP25/6: Proposed amendments to PRA Rulebook and FCA Guidance concerning the de minimis threshold for the Loan to Income flow limit in mortgage lending[pdf],CP25/6,CP,Consultation papers,2025-04-03,,https://www.fca.org.uk/publication/consultation/cp25-6.pdf
CP25/4: Quarterly Consultation Paper No. 47[pdf],CP25/4,CP,Consultation papers,2025-03-07,,https://www.fca.org.uk/publication/consultation/cp25-4.pdf
CP25/3: Consultation on further proposals for firms operating public offer platforms[pdf],CP25/3,CP,Consultation papers,2025-01-31,,https://www.fca.org.uk/publication/consultation/cp25-3.pdf
CP25/2: Consultation on further changes to the public offers and admissions to trading regime and the UK Listing Rules[pdf],CP25/2,CP,Consultation papers,2025-01-31,,https://www.fca.org.uk/publication/consultation/cp25-2.pdf
CP25/1: Financial Services Compensation Scheme – Management Expenses Levy Limit 2025/26[pdf],CP25/1,CP,Consultation papers,2025-01-10,,https://www.fca.org.uk/publication/consultation/cp25-1.pdf
CP24/30: A new product information framework for Consumer Composite Investments[pdf],CP24/30,CP,Consultation papers,2024-12-19,,https://www.fca.org.uk/publication/consultation/cp24-30.pdf
CP24/29: Private Intermittent Securities and Capital Exchange System: Sandbox Arrangements[pdf],CP24/29,CP,Consultation papers,2024-12-17,,https://www.fca.org.uk/publication/consultation/cp24-29.pdf
CP24/28: Operational Incident and Third Party Reporting[pdf],CP24/28,CP,Consultation papers,2024-12-13,,https://www.fca.org.uk/publication/consultation/cp24-28.pdf
CP24/27: Advice Guidance Boundary Review – proposed targeted support reforms for pensions[pdf],CP24/27,CP,Consultation papers,2024-12-12,2025-01-08,https://www.fca.org.uk/publication/consultation/cp24-27.pdf
CP24/26: Quarterly Consultation Paper No 46[pdf],CP24/26,CP,Consultation papers,2024-12-06,,https://www.fca.org.uk/publication/consultation/cp24-26.pdf
CP24/25: FCA fees and levies: policy proposals 2025/26[pdf],CP24/25,CP,Consultation papers,2024-11-29,,https://www.fca.org.uk/publication/consultation/cp24-25.pdf
"CP24/2, Part 2: Greater transparency of our enforcement investigations[pdf]",CP24/2,CP,Consultation papers,2024-11-28,,https://www.fca.org.uk/publication/consultation/cp24-2-part-2.pdf
CP24/24: The MiFID Organisational Regulation[pdf],CP24/24,CP,Consultation papers,2024-11-27,,https://www.fca.org.uk/publication/consultation/cp24-24.pdf
CP24/22: Further temporary changes to handling rules for motor finance complaints[pdf],CP24/22,CP,Consultation papers,2024-11-21,,https://www.fca.org.uk/publication/consultation/cp24-22.pdf
CP24/21: Investment research payment optionality for fund managers[pdf],CP24/21,CP,Consultation papers,2024-11-05,,https://www.fca.org.uk/publication/consultation/cp24-21.pdf
CP24/20: Changes to the safeguarding regime for payments and e-money firms[pdf],CP24/20,CP,Consultation papers,2024-09-25,,https://www.fca.org.uk/publication/consultation/cp24-20.pdf
CP24/19: Consumer Credit Regulatory Returns[pdf],CP24/19,CP,Consultation papers,2024-09-12,,https://www.fca.org.uk/publication/consultation/cp24-19.pdf
CP24/18: Quarterly Consultation No. 45[pdf],CP24/18,CP,Consultation papers,2024-09-06,,https://www.fca.org.uk/publication/consultation/cp24-18.pdf
UK EMIR Trade Repositories: draft questions and answers,,CP,Consultation papers,2024-09-04,2024-09-26,https://www.fca.org.uk/publications/consultation-papers/uk-emir-trade-repositories-draft-questions-answers
CP24/17: Enhancing the National Storage Mechanism[pdf],CP24/17,CP,Consultation papers,2024-08-09,,https://www.fca.org.uk/publication/consultation/cp24-17.pdf
CP24/16: Value for Money Framework[pdf],CP24/16,CP,Consultation papers,2024-08-08,,https://www.fca.org.uk/publication/consultation/cp24-16.pdf
CP24/15: Extending the temporary changes to handling rules for motor finance complaints[pdf],CP24/15,CP,Consultation papers,2024-07-30,,https://www.fca.org.uk/publication/consultation/cp24-15.pdf
CP24/14: Consultation on the derivatives trading obligation and post-trade risk reduction services[pdf],CP24/14,CP,Consultation papers,2024-07-26,,https://www.fca.org.uk/publication/consultation/cp24-14.pdf
CP24-12: Consultation on the new Public Trading Offers and Admissions to the Trading Regulations regime (POATRs)[pdf],,CP,Consultation papers,2024-07-26,,https://www.fca.org.uk/publication/consultation/cp24-12.pdf
CP24/13: Consultation on the new public offer platform regime[pdf],CP24/13,CP,Consultation papers,2024-07-26,,https://www.fca.org.uk/publication/consultation/cp24-13.pdf
CP24/11: Quarterly Consultation Paper No. 44[pdf],CP24/11,CP,Consultation papers,2024-07-08,,https://www.fca.org.uk/publication/consultation/cp24-11.pdf
Addendum to CP24/6[pdf],CP24/6,CP,Consultation papers,2024-05-29,,https://www.fca.org.uk/publication/consultation/addendum-cp24-6.pdf
CP24/9: Financial Crime Guide updates[pdf],CP24/9,CP,Consultation papers,2024-04-25,,https://www.fca.org.uk/publication/consultation/cp24-9.pdf
CP24/8: Extending the Sustainability Disclosure Requirements (SDR) regime to Portfolio Management[pdf],CP24/8,CP,Consultation papers,2024-04-23,,https://www.fca.org.uk/publication/consultation/cp24-8.pdf
CP24/7: Payment optionality for investment research[pdf],CP24/7,CP,Consultation papers,2024-04-10,,https://www.fca.org.uk/publication/consultation/cp24-7.pdf
CP24/4: The regulatory framework for pensions dashboard service firms: further consultation[pdf],CP24/4,CP,Consultation papers,2024-03-27,,https://www.fca.org.uk/publication/consultation/cp24-4.pdf
UK Listing Rules instrument 2024[pdf],,CP,Consultation papers,2024-03-07,,https://www.fca.org.uk/publication/consultation/uk-listing-rules-instrument-2024.pdf
UK Listing Rules (consequential amendments) instrument 2024[pdf],,CP,Consultation papers,2024-03-07,,https://www.fca.org.uk/publication/consultation/uk-listing-rules-consequential-amendments-instrument-2024.pdf
CP24/3: Quarterly Consultation Paper No. 43[pdf],CP24/3,CP,Consultation papers,2024-03-01,,https://www.fca.org.uk/publication/consultation/cp24-3.pdf
Changes to UK EMIR reporting requirements: draft questions and answers,,CP,Consultation papers,2024-03-01,2025-10-31,https://www.fca.org.uk/publications/consultation-papers/changes-uk-emir-reporting-requirements-draft-questions-answers
CP24/1: Financial Services Compensation Scheme - Management Expenses Levy Limit 2024/25,CP24/1,CP,Consultation papers,2024-01-11,2024-12-17,https://www.fca.org.uk/publications/consultation-papers/cp24-1-financial-services-compensation-scheme-management-expenses-levy-limit-2024-25
CP23/32: Improving transparency for bond and derivatives markets[pdf],CP23/32,CP,Consultation papers,2023-12-20,,https://www.fca.org.uk/publication/consultation/cp23-32.pdf
CP23/31: Primary Markets Effectiveness Review: Feedback to CP23/10 and detailed proposals for listing rules reforms[pdf],CP23/31,CP,Consultation papers,2023-12-20,,https://www.fca.org.uk/publication/consultation/cp23-31.pdf
CP23/33: Consultation on Payments to data providers and forms for Data Reporting Services Providers including Policy Statement for the framework for UK consolidated tape (CP23/15)[pdf],CP23/33,CP,Consultation papers,2023-12-20,,https://www.fca.org.uk/publication/consultation/cp23-33.pdf
Technical Annex to CP23/29[pdf],,CP,Consultation papers,2023-12-07,,https://www.fca.org.uk/publication/consultation/cp23-29-annex.pdf
CP23/29: Access to cash[pdf],CP23/29,CP,Consultation papers,2023-12-07,2023-12-08,https://www.fca.org.uk/publication/consultation/cp23-29.pdf
CP23/28: Updating the regime for Money Market Funds[pdf],CP23/28,CP,Consultation papers,2023-12-06,,https://www.fca.org.uk/publication/consultation/cp23-28.pdf
CP23/26: Implementing the Overseas Funds Regime[pdf],CP23/26,CP,Consultation papers,2023-12-04,,https://www.fca.org.uk/publication/consultation/cp23-26.pdf
CP23/27: Reforming the commodity derivatives regulatory framework[pdf],CP23/27,CP,Consultation papers,2023-12-04,,https://www.fca.org.uk/publication/consultation/cp23-27.pdf
CP23/25: Quarterly Consultation Paper No. 42[pdf],CP23/25,CP,Consultation papers,2023-12-01,,https://www.fca.org.uk/publication/consultation/cp23-25.pdf
CP23/24: Capital deduction for redress: personal investment firms[pdf],CP23/24,CP,Consultation papers,2023-11-29,,https://www.fca.org.uk/publication/consultation/cp23-24.pdf
CP23/23: Prudential assessment of acquisitions and increases in control,CP23/23,CP,Consultation papers,2023-11-23,2024-02-26,https://www.fca.org.uk/publications/consultation-papers/cp23-23-prudential-assessment-acquisitions-increases-control
CP23/22: Regulatory fees and levies: policy proposals for 2024/25[pdf],CP23/22,CP,Consultation papers,2023-11-21,,https://www.fca.org.uk/publication/consultation/cp23-22.pdf
CP23/21: Consumer Credit Product Sales Data Reporting - Sales Data Flow Diagram[pdf],CP23/21,CP,Consultation papers,2023-11-14,,https://www.fca.org.uk/publication/consultation/cp23-21-consumer-credit-product-sales-data-flow.pdf
Data elements found in Appendix 1 of CP23/21[xlsx],,CP,Consultation papers,2023-10-26,,https://www.fca.org.uk/publication/consultation/cp23-21-consumer-credit-psd-reporting-proposed-data-elements.xlsx
Addendum to CP23/17: Rules relating to Securitisation[pdf],CP23/17,CP,Consultation papers,2023-10-16,,https://www.fca.org.uk/publication/consultation/cp23-17-addendum.pdf
CP23/20: Diversity and inclusion in the financial sector – working together to drive change[pdf],CP23/20,CP,Consultation papers,2023-09-25,,https://www.fca.org.uk/publication/consultation/cp23-20.pdf
CP23/19: Future Regulatory Framework - The Insurance Distribution Directive[pdf],CP23/19,CP,Consultation papers,2023-09-05,,https://www.fca.org.uk/publication/consultation/cp23-19.pdf
CP23/18: Quarterly Consultation Paper No. 41[pdf],CP23/18,CP,Consultation papers,2023-09-01,,https://www.fca.org.uk/publication/consultation/cp23-18.pdf
CP23/15: The Framework for a UK Consolidated Tape[pdf],CP23/15,CP,Consultation papers,2023-07-05,,https://www.fca.org.uk/publication/consultation/cp23-15.pdf
Vote Reporting: A consultation and discussion paper from the Vote Reporting Group[pdf],,CP,Consultation papers,2023-06-21,,https://www.fca.org.uk/publication/consultation/vote-reporting-consultation-discussion-paper.pdf
CP23/14: Quarterly Consultation Paper No. 40[pdf],CP23/14,CP,Consultation papers,2023-06-02,,https://www.fca.org.uk/publication/consultation/cp23-14.pdf
CP23/13: Strengthening protections for borrowers in financial difficulty: Consumer credit and mortgages[pdf],CP23/13,CP,Consultation papers,2023-05-25,,https://www.fca.org.uk/publication/consultation/cp23-13.pdf
CP23/12: Expansion of the Dormant Assets scheme – second phase[pdf],CP23/12,CP,Consultation papers,2023-05-22,,https://www.fca.org.uk/publication/consultation/cp23-12.pdf
CP23/11: Remuneration: Enhancing proportionality for dual‑regulated firms[pdf],CP23/11,CP,Consultation papers,2023-05-12,,https://www.fca.org.uk/publication/consultation/cp23-11.pdf
CP23/10: Primary Markets Effectiveness Review: Feedback to DP22/2 and proposed equity listing rule reforms[pdf],CP23/10,CP,Consultation papers,2023-05-03,,https://www.fca.org.uk/publication/consultation/cp23-10.pdf
CP23/9: Changing the scope of the baseline financial resilience regulatory return (‘FIN073’)[pdf],CP23/9,CP,Consultation papers,2023-05-02,,https://www.fca.org.uk/publication/consultation/cp23-9.pdf
CP23/8: Multi-occupancy building insurance[pdf],CP23/8,CP,Consultation papers,2023-04-21,,https://www.fca.org.uk/publication/consultation/cp23-8.pdf
CP23/7: FCA regulated fees and levies: rates proposals for 2023/24[pdf],CP23/7,CP,Consultation papers,2023-04-05,,https://www.fca.org.uk/publication/consultation/cp23-7.pdf
CP23/6: Quarterly Consultation Paper No. 39[pdf],CP23/6,CP,Consultation papers,2023-03-03,,https://www.fca.org.uk/publication/consultation/cp23-6.pdf
CP23/5: Debt packagers: feedback on CP21/30 and further consultation on new rules and perimeter guidance[pdf],CP23/5,CP,Consultation papers,2023-02-02,,https://www.fca.org.uk/publication/consultation/cp23-5.pdf
CP23/3: Financial Services Compensation Scheme – Management Expenses Levy Limit 2023/24[pdf],CP23/3,CP,Consultation papers,2023-01-12,,https://www.fca.org.uk/publication/consultation/cp23-3.pdf
CP23/2: Streamlining our transparency rules on structured digital reporting of annual financial statements by companies[pdf],CP23/2,CP,Consultation papers,2023-01-12,,https://www.fca.org.uk/publication/consultation/cp23-2.pdf
CP23/1: Insurance guidance for the support of customers in financial difficulty[pdf],CP23/1,CP,Consultation papers,2023-01-11,,https://www.fca.org.uk/publication/consultation/cp23-1.pdf
FG26/5: Application of the Consumer Duty to cryptoasset firms[pdf],FG26/5,FG,Finalised guidance,2026-06-30,,https://www.fca.org.uk/publication/finalised-guidance/fg26-5.pdf
FG: Cryptoasset operational resilience[pdf],,FG,Finalised guidance,2026-06-30,,https://www.fca.org.uk/publication/finalised-guidance/fg26-6.pdf
FG: Approach to international cryptoasset firms[pdf],,FG,Finalised guidance,2026-06-30,,https://www.fca.org.uk/publication/finalised-guidance/fg26-7.pdf
Payment Services and Electronic Money – Our Approach[pdf],,FG,Finalised guidance,2026-05-07,2026-05-07,https://www.fca.org.uk/publication/finalised-guidance/payment-services-electronic-money-approach.pdf
FG26/2: Primary Market Bulletin No. 63,FG26/2,FG,Finalised guidance,2026-04-27,2026-04-27,https://www.fca.org.uk/publications/finalised-guidance/fg26-2-primary-market-bulletin-no-63
Payment Services and Electronic Money – Our Approach – March 2026 (version 7)[pdf],,FG,Finalised guidance,2026-03-19,,https://www.fca.org.uk/publication/finalised-guidance/payment-services-electronic-money-approach-march-2026.pdf
FG26/3: Operational Incident Reporting[pdf],FG26/3,FG,Finalised guidance,2026-03-18,,https://www.fca.org.uk/publication/finalised-guidance/fg26-3.pdf
FG26/4: Material Third Party Reporting[pdf],FG26/4,FG,Finalised guidance,2026-03-18,,https://www.fca.org.uk/publication/finalised-guidance/fg26-4.pdf
FG26/1: Primary Market Bulletin No. 61,FG26/1,FG,Finalised guidance,2026-01-12,2026-01-12,https://www.fca.org.uk/publications/finalised-guidance/fg26-1-primary-market-bulletin-no-61
FG25/6: Primary Market Bulletin No. 58,FG25/6,FG,Finalised guidance,2025-10-17,2025-10-17,https://www.fca.org.uk/publications/finalised-guidance/fg25-6-primary-market-bulletin-no-58
"Payment Services and Electronic Money – Our Approach, May 2026 draft version[pdf]",,FG,Finalised guidance,2025-08-07,,https://www.fca.org.uk/publication/finalised-guidance/fca-approach-payment-services-electronic-money-2017-may-2026-draft.pdf
FG25/5: Primary Market Bulletin No. 57,FG25/5,FG,Finalised guidance,2025-07-25,2025-07-25,https://www.fca.org.uk/publications/finalised-guidance/fg25-5-primary-market-bulletin-no-57
FG25/4: The Financial Policy Committee’s recommendation on loan to income ratios in mortgage lending: General Guidance[pdf],FG25/4,FG,Finalised guidance,2025-07-08,,https://www.fca.org.uk/publication/finalised-guidance/fg25-4.pdf
FG25/3 The treatment of politically exposed persons for anti-money laundering purposes[pdf],FG25/3,FG,Finalised guidance,2025-07-07,,https://www.fca.org.uk/publication/finalised-guidance/fg25-3.pdf
FG25/2: Guidance for insolvency practitioners on how to approach regulated firms[pdf],FG25/2,FG,Finalised guidance,2025-04-28,,https://www.fca.org.uk/publication/finalised-guidance/fg25-2.pdf
FG25/1: Primary Market Bulletin No. 55,FG25/1,FG,Finalised guidance,2025-04-17,2025-04-17,https://www.fca.org.uk/publications/finalised-guidance/fg25-1-primary-market-bulletin-no-55
FG24/7: Primary Market Bulletin No. 53,FG24/7,FG,Finalised guidance,2024-12-13,2024-12-13,https://www.fca.org.uk/publications/finalised-guidance/fg24-7-primary-market-bulletin-no-53
FG24/6: Guidance for firms that enables a risk-based approach to payments[pdf],FG24/6,FG,Finalised guidance,2024-11-22,,https://www.fca.org.uk/publication/finalised-guidance/fg24-6.pdf
Payment Services and Electronic Money – Our Approach – November 2024 (version 6)[pdf],,FG,Finalised guidance,2024-11-22,,https://www.fca.org.uk/publication/finalised-guidance/fca-approach-payment-services-electronic-money-2017-november-2024.pdf
Tracked changes: Payment Services and Electronic Money – Our Approach – November 2024[pdf],,FG,Finalised guidance,2024-11-22,,https://www.fca.org.uk/publication/finalised-guidance/fca-approach-payment-services-electronic-money-2017-november-2024-tracked-changes.pdf
FG24/5: Prudential assessment of acquisitions and increases in control[pdf],FG24/5,FG,Finalised guidance,2024-11-01,,https://www.fca.org.uk/publication/finalised-guidance/fg24-5.pdf
FG24/4: Primary Market Bulletin No. 51,FG24/4,FG,Finalised guidance,2024-09-23,2024-09-24,https://www.fca.org.uk/publications/finalised-guidance/fg24-4-primary-market-bulletin-no-51
FG24/3: Finalised non‑handbook guidance on the Anti‑Greenwashing Rule[pdf],FG24/3,FG,Finalised guidance,2024-04-23,,https://www.fca.org.uk/publication/finalised-guidance/fg24-3.pdf
FG24/2: Finalised Guidance for firms supporting their existing mortgage borrowers impacted by the rising cost of living[pdf],FG24/2,FG,Finalised guidance,2024-04-10,,https://www.fca.org.uk/publication/finalised-guidance/fg24-2.pdf
FG24/1: Finalised guidance on financial promotions on social media[pdf],FG24/1,FG,Finalised guidance,2024-03-26,,https://www.fca.org.uk/publication/finalised-guidance/fg24-1.pdf
FG23/4: Dual-regulation firms Remuneration Code (SYSC 19D): Frequently asked questions on remuneration[pdf],FG23/4,FG,Finalised guidance,2023-12-05,2025-10-15,https://www.fca.org.uk/publication/finalised-guidance/fg23-4.pdf
FG23/5: General Guidance on Proportionality: The Dual-regulated firms Remuneration Code (SYSC 19D)[pdf],FG23/5,FG,Finalised guidance,2023-12-05,2025-10-15,https://www.fca.org.uk/publication/finalised-guidance/fg23-5.pdf
FG23/6: General guidance on the application of ex-post risk adjustment to variable remuneration[pdf],FG23/6,FG,Finalised guidance,2023-12-05,2025-10-15,https://www.fca.org.uk/publication/finalised-guidance/fg23-6.pdf
FG23/3: Finalised non-handbook guidance on Cryptoasset Financial Promotions[pdf],FG23/3,FG,Finalised guidance,2023-11-02,,https://www.fca.org.uk/publication/finalised-guidance/fg23-3.pdf
FG23/2: Guidance for firms supporting their existing mortgage borrowers impacted by the rising cost of living[pdf],FG23/2,FG,Finalised guidance,2023-03-10,,https://www.fca.org.uk/publication/finalised-guidance/fg23-2.pdf
Finalised Guidance 23/1: OPBAS Sourcebook update summary[pdf],,FG,Finalised guidance,2023-01-10,,https://www.fca.org.uk/publication/finalised-guidance/fg23-1.pdf
Handbook Notice 143[pdf],,HN,Handbook,2026-07-31,,https://www.fca.org.uk/publication/handbook/handbook-notice-143.pdf
Explanatory statement under Article 28a(9) Markets in Financial Instruments Regulation relating to the FCA's direction on the Derivatives Trading Obligation[pdf],,HN,Handbook,2026-07-09,,https://www.fca.org.uk/publication/handbook/explanatory-statement-direction-derivatives-trading-obligation-direction-renewal.pdf
Handbook Notice 142[pdf],,HN,Handbook,2026-06-26,,https://www.fca.org.uk/publication/handbook/handbook-notice-142.pdf
Handbook Notice 141[pdf],,HN,Handbook,2026-05-29,,https://www.fca.org.uk/publication/handbook/handbook-notice-141.pdf
Handbook Notice 140[pdf],,HN,Handbook,2026-04-24,,https://www.fca.org.uk/publication/handbook/handbook-notice-140.pdf
Deferred payment credit TPR directions[pdf],,HN,Handbook,2026-04-02,,https://www.fca.org.uk/publication/handbook/directions-deferred-payment-credit-tpr.pdf
Handbook Notice 139[pdf],,HN,Handbook,2026-03-27,,https://www.fca.org.uk/publication/handbook/handbook-notice-139.pdf
Handbook Notice 138[pdf],,HN,Handbook,2026-02-27,,https://www.fca.org.uk/publication/handbook/handbook-notice-138.pdf
Relevant application period for an application for a relevant cryptoasset permission made to the FCA under section 55U of The Financial Services and Markets Act 2000 (as amended)[pdf],,HN,Handbook,2026-02-27,,https://www.fca.org.uk/publication/handbook/crypto-relevant-application-period-direction.pdf
Handbook Notice 137[pdf],,HN,Handbook,2026-01-30,,https://www.fca.org.uk/publication/handbook/handbook-notice-137.pdf
Explanatory note for our direction for the derivatives trading obligation under Article 28a(9) MiFIR 2026[pdf],,HN,Handbook,2026-01-05,,https://www.fca.org.uk/publication/handbook/explanatory-statement-direction-derivatives-trading-obligation-article-28a9-mifir-2026.pdf
Handbook Notice 136[pdf],,HN,Handbook,2025-12-19,,https://www.fca.org.uk/publication/handbook/handbook-notice-136.pdf
Handbook Notice 135[pdf],,HN,Handbook,2025-11-28,,https://www.fca.org.uk/publication/handbook/handbook-notice-135.pdf
Handbook Notice 134[pdf],,HN,Handbook,2025-10-31,,https://www.fca.org.uk/publication/handbook/handbook-notice-134.pdf
Handbook Notice 133[pdf],,HN,Handbook,2025-10-03,,https://www.fca.org.uk/publication/handbook/handbook-notice-133.pdf
Handbook Notice 132[pdf],,HN,Handbook,2025-08-01,,https://www.fca.org.uk/publication/handbook/handbook-notice-132.pdf
Explanatory note for our direction for the derivatives trading obligation under Article 28a(9) MiFIR[pdf],,HN,Handbook,2025-07-17,,https://www.fca.org.uk/publication/handbook/explanatory-statement-direction-derivatives-trading-obligation-article-28a9-mifir.pdf
Handbook Notice 131[pdf],,HN,Handbook,2025-06-27,,https://www.fca.org.uk/publication/handbook/handbook-notice-131.pdf
Handbook Notice 130[pdf],,HN,Handbook,2025-05-23,,https://www.fca.org.uk/publication/handbook/handbook-notice-130.pdf
Handbook Notice 129[pdf],,HN,Handbook,2025-05-02,,https://www.fca.org.uk/publication/handbook/handbook-notice-129.pdf
Handbook Notice 128[pdf],,HN,Handbook,2025-03-28,,https://www.fca.org.uk/publication/handbook/handbook-notice-128.pdf
Handbook Notice 127[pdf],,HN,Handbook,2025-02-28,,https://www.fca.org.uk/publication/handbook/handbook-notice-127.pdf
Handbook Notice 126[pdf],,HN,Handbook,2025-01-31,,https://www.fca.org.uk/publication/handbook/handbook-notice-126.pdf
Handbook Notice 125[pdf],,HN,Handbook,2024-12-20,,https://www.fca.org.uk/publication/handbook/handbook-notice-125.pdf
Handbook Notice 124[pdf],,HN,Handbook,2024-11-29,,https://www.fca.org.uk/publication/handbook/handbook-notice-124.pdf
Direction for the Derivatives Trading Obligation under Article 28a UK MiFIR[pdf],,HN,Handbook,2024-11-29,,https://www.fca.org.uk/publication/handbook/direction-derivatives-trading-obligation-article-28-uk-mifir.pdf
Explanatory note for our direction for the derivatives trading obligation under Article 28a(6) Markets in Financial Instruments Regulation[pdf],,HN,Handbook,2024-11-29,,https://www.fca.org.uk/publication/handbook/explanatory-statement-direction-derivatives-trading-obligation-article-28a-mifir.pdf
Handbook Notice 123[pdf],,HN,Handbook,2024-11-01,,https://www.fca.org.uk/publication/handbook/handbooknotice123.pdf
Handbook Notice 122[pdf],,HN,Handbook,2024-10-04,,https://www.fca.org.uk/publication/handbook/handbook-notice-122.pdf
Handbook Notice 121[pdf],,HN,Handbook,2024-07-26,,https://www.fca.org.uk/publication/handbook/handbook-notice-121.pdf
Handbook Notice 120[pdf],,HN,Handbook,2024-06-28,,https://www.fca.org.uk/publication/handbook/handbook-notice-120.pdf
Handbook Notice 119[pdf],,HN,Handbook,2024-05-24,,https://www.fca.org.uk/publication/handbook/handbook-notice-119.pdf
Handbook Notice 118[pdf],,HN,Handbook,2024-04-26,,https://www.fca.org.uk/publication/handbook/handbook-notice-118.pdf
Handbook Notice 117[pdf],,HN,Handbook,2024-04-02,,https://www.fca.org.uk/publication/handbook/handbook-notice-117.pdf
Handbook Notice 116[pdf],,HN,Handbook,2024-03-01,,https://www.fca.org.uk/publication/handbook/handbook-notice-116.pdf
Handbook Notice 115[pdf],,HN,Handbook,2024-01-26,,https://www.fca.org.uk/publication/handbook/handbook-notice-115.pdf
Handbook Notice 114[pdf],,HN,Handbook,2023-12-15,,https://www.fca.org.uk/publication/handbook/handbook-notice-114.pdf
Handbook Notice 113[pdf],,HN,Handbook,2023-10-27,,https://www.fca.org.uk/publication/handbook/handbook-notice-113.pdf
Handbook Notice 112[pdf],,HN,Handbook,2023-09-29,,https://www.fca.org.uk/publication/handbook/handbook-notice-112.pdf
Variation of FCA transitional direction for the derivatives trading obligation[pdf],,HN,Handbook,2023-08-29,,https://www.fca.org.uk/publication/handbook/dto-direction-variation.pdf
Revocation of FCA transitional direction for the share trading obligation[pdf],,HN,Handbook,2023-08-29,,https://www.fca.org.uk/publication/handbook/sto-direction-revocation.pdf
Explanatory note: Direction to vary FCA Transitional Direction for the Derivatives Trading Obligation[pdf],,HN,Handbook,2023-08-29,,https://www.fca.org.uk/publication/handbook/dto-direction-variation-note.pdf
Explanatory note on FCA revocation of FCA direction on the Share Trading Obligation[pdf],,HN,Handbook,2023-08-29,,https://www.fca.org.uk/publication/handbook/sto-direction-revocation-note.pdf
Handbook Notice 111[pdf],,HN,Handbook,2023-07-28,,https://www.fca.org.uk/publication/handbook/handbook-notice-111.pdf
Handbook Notice 109[pdf],,HN,Handbook,2023-04-28,,https://www.fca.org.uk/publication/handbook/handbook-notice-109.pdf
Handbook Notice 108[pdf],,HN,Handbook,2023-03-31,,https://www.fca.org.uk/publication/handbook/handbook-notice-108.pdf
Handbook Notice 107[pdf],,HN,Handbook,2023-02-24,,https://www.fca.org.uk/publication/handbook/handbook-notice-107.pdf
Handbook Notice 106[pdf],,HN,Handbook,2023-01-27,,https://www.fca.org.uk/publication/handbook/handbook-notice-106.pdf
PS26/17: Enhancing fund liquidity risk management[pdf],PS26/17,PS,Policy statements,2026-08-13,,https://www.fca.org.uk/publication/policy/ps26-17.pdf
